Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
25258578,RS_198,COUNTRY,AGO,YEAR,2012,SEX,MLE,,,,,,,29.1 [23.1-35.1],29.11722,23.0997,35.13475,,2021-02-09T16:20:34Z,2012,2012-01-01,2012-12-31
25258579,RS_198,COUNTRY,AGO,YEAR,2005,SEX,MLE,,,,,,,29.6 [23.9-35.4],29.61375,23.85131,35.37619,,2021-02-09T16:20:34Z,2005,2005-01-01,2005-12-31
25258580,RS_198,COUNTRY,AGO,YEAR,2017,SEX,FMLE,,,,,,,17.8 [13.8-21.8],17.79263,13.7645,21.81695,,2021-02-09T16:20:34Z,2017,2017-01-01,2017-12-31
25258581,RS_198,COUNTRY,AGO,YEAR,2002,SEX,FMLE,,,,,,,21.8 [17.7-26.0],21.83809,17.68474,25.99144,,2021-02-09T16:20:34Z,2002,2002-01-01,2002-12-31
25258582,RS_198,COUNTRY,AGO,YEAR,2016,SEX,BTSX,,,,,,,24.7 [19.3-30.2],24.74566,19.31014,30.17755,,2021-02-09T16:20:34Z,2016,2016-01-01,2016-12-31
25258583,RS_198,COUNTRY,AGO,YEAR,2010,SEX,MLE,,,,,,,31.4 [25.0-37.8],31.39623,25.0198,37.77266,,2021-02-09T16:20:34Z,2010,2010-01-01,2010-12-31
25258584,RS_198,COUNTRY,AGO,YEAR,2016,SEX,MLE,,,,,,,31.8 [24.8-38.7],31.75414,24.77917,38.72445,,2021-02-09T16:20:34Z,2016,2016-01-01,2016-12-31
25258585,RS_198,COUNTRY,AGO,YEAR,2015,SEX,FMLE,,,,,,,17.6 [13.8-21.3],17.57814,13.82958,21.32394,,2021-02-09T16:20:34Z,2015,2015-01-01,2015-12-31
25258586,RS_198,COUNTRY,AGO,YEAR,2010,SEX,BTSX,,,,,,,25.8 [20.6-31.0],25.79758,20.55821,31.03696,,2021-02-09T16:20:34Z,2010,2010-01-01,2010-12-31
25258587,RS_198,COUNTRY,AGO,YEAR,2014,SEX,FMLE,,,,,,,17.4 [13.8-21.1],17.44766,13.8322,21.06603,,2021-02-09T16:20:34Z,2014,2014-01-01,2014-12-31
25258588,RS_198,COUNTRY,AGO,YEAR,2012,SEX,FMLE,,,,,,,17.3 [13.7-20.9],17.31856,13.73941,20.89771,,2021-02-09T16:20:34Z,2012,2012-01-01,2012-12-31
25258589,RS_198,COUNTRY,AGO,YEAR,2018,SEX,MLE,,,,,,,34.4 [26.3-42.4],34.35172,26.33596,42.35754,,2021-02-09T16:20:34Z,2018,2018-01-01,2018-12-31
25258590,RS_198,COUNTRY,AGO,YEAR,2006,SEX,FMLE,,,,,,,20.9 [16.8-25.0],20.87843,16.77189,24.98919,,2021-02-09T16:20:34Z,2006,2006-01-01,2006-12-31
25258591,RS_198,COUNTRY,AGO,YEAR,2014,SEX,MLE,,,,,,,29.1 [23.0-35.1],29.05872,23.03724,35.08503,,2021-02-09T16:20:34Z,2014,2014-01-01,2014-12-31
25258592,RS_198,COUNTRY,AGO,YEAR,2002,SEX,BTSX,,,,,,,25.4 [20.6-30.2],25.38997,20.56109,30.21885,,2021-02-09T16:20:34Z,2002,2002-01-01,2002-12-31
25258593,RS_198,COUNTRY,AGO,YEAR,2011,SEX,FMLE,,,,,,,18.8 [14.9-22.6],18.79423,14.93971,22.64875,,2021-02-09T16:20:34Z,2011,2011-01-01,2011-12-31
25258594,RS_198,COUNTRY,AGO,YEAR,2017,SEX,MLE,,,,,,,33.3 [25.8-40.9],33.32289,25.77881,40.85982,,2021-02-09T16:20:34Z,2017,2017-01-01,2017-12-31
25258595,RS_198,COUNTRY,AGO,YEAR,2000,SEX,MLE,,,,,,,27.9 [22.5-33.2],27.86725,22.506,33.2285,,2021-02-09T16:20:34Z,2000,2000-01-01,2000-12-31
